Month/Year,Tmax (oC),Tmin (oC),AirFrost (Days),Rain (mm),Sun (Hours),Notes
Jan/1986,5.4,0.10,14.00,151.40,40.90
Feb/1986,3.1,-1.80,21.00,8.80,62.60
Mar/1986,8.7,2.20,5.00,163.20,116.30
Apr/1986,9.5,2.60,5.00,55.70,110.70
May/1986,13.8,7.40,0.00,165.60,142.70
Jun/1986,18.6,9.70,0.00,40.70,186.30
Jul/1986,18,11.30,0.00,87.60,110.90
Aug/1986,17.1,9.40,0.00,121.20,122.10
Sep/1986,15.3,7.60,0.00,30.90,147.60
Oct/1986,12.8,7.30,0.00,161.70,89.20
Nov/1986,10.1,4.60,4.00,205.10,50.80
Dec/1986,7.2,2.80,2.00,246.50,32.50
Jan/1987,4,-0.70,14.00,64.50,38.90
Feb/1987,7.1,0.40,11.00,81.30,65.80
Mar/1987,8.1,1.00,11.00,118.50,104.90
Apr/1987,13.1,5.60,0.00,54.90,116.30
May/1987,14.9,6.20,0.00,58.70,199.00
Jun/1987,16.3,8.70,0.00,117.40,126.10
Jul/1987,19.3,11.80,0.00,53.40,146.70
Aug/1987,18.5,10.70,0.00,106.00,143.80
Sep/1987,16,9.10,0.00,113.50,158.40
Oct/1987,11.3,4.70,4.00,150.90,84.80
Nov/1987,8.5,4.10,3.00,81.40,52.00
Dec/1987,7.6,2.10,10.00,119.70,24.70
Jan/1988,6.5,1.80,7.00,160.70,39.80
Feb/1988,7.6,2.10,1.00,111.90,77.20
Mar/1988,8.9,2.30,8.00,146.10,68.20
Apr/1988,12.1,4.30,1.00,68.10,112.50
May/1988,16,6.70,0.00,61.60,179.20
Jun/1988,20,10.50,0.00,12.60,203.80
Jul/1988,17.4,10.80,0.00,144.50,106.20
Aug/1988,18.2,11.00,0.00,138.40,126.60
Sep/1988,15.7,9.30,0.00,115.80,128.80
Oct/1988,12.4,6.30,3.00,143.90,76.50
Nov/1988,8.8,2.60,7.00,84.30,67.80
Dec/1988,9.7,5.40,0.00,95.60,26.00
Jan/1989,9.5,4.90,0.00,174.40,26.70
Feb/1989,8.1,2.30,6.00,170.70,64.90
Mar/1989,9.5,2.50,3.00,198.70,93.70
Apr/1989,10.7,3.10,5.00,52.50,139.40
May/1989,16.9,7.10,0.00,25.10,217.30
Jun/1989,18.3,9.10,0.00,76.40,179.00
Jul/1989,22.2,11.40,0.00,22.00,259.50
Aug/1989,18.1,11.30,0.00,133.90,131.00
Sep/1989,16,8.80,0.00,82.70,104.00
Oct/1989,13.6,7.70,0.00,130.60,78.80
Nov/1989,8.2,2.80,7.00,42.30,70.50
Dec/1989,4.8,-0.10,15.00,83.10,22.80
Jan/1990,8.1,3.60,0.00,252.00,33.30
Feb/1990,8.7,3.40,0.00,245.90,44.20
Mar/1990,10.6,4.90,2.00,181.00,74.80
Apr/1990,12.2,3.80,1.00,74.30,134.00
May/1990,17.2,7.80,0.00,61.70,196.50
Jun/1990,17.6,9.50,0.00,103.90,128.40
Jul/1990,20,11.50,0.00,52.50,215.20
Aug/1990,18.9,12.00,0.00,78.10,121.30
Sep/1990,15.7,8.30,0.00,65.00,129.20
Oct/1990,12.8,7.70,0.00,207.20,60.50
Nov/1990,8.4,2.50,10.00,59.00,81.80
Dec/1990,7.1,1.30,10.00,152.00,37.10
Jan/1991,5.4,0.50,11.00,149.40,37.50
Feb/1991,5.6,-0.30,15.00,63.40,67.40
Mar/1991,10.6,3.80,1.00,98.10,79.60
Apr/1991,12,4.70,1.00,129.00,144.70
May/1991,16.5,7.60,0.00,9.10,195.10
Jun/1991,16.4,8.00,0.00,96.20,165.60
Jul/1991,20.8,13.10,0.00,86.50,145.50
Aug/1991,19.6,12.60,0.00,48.80,131.00
Sep/1991,17.4,8.80,0.00,120.00,150.60
Oct/1991,12.1,6.40,0.00,102.50,64.80
Nov/1991,8.7,3.20,6.00,185.20,51.60
Dec/1991,7.8,2.20,6.00,136.40,19.20
Jan/1992,7.1,1.40,14.00,124.80,28.90
Feb/1992,8.3,2.80,4.00,173.70,51.00
Mar/1992,9.8,4.00,2.00,145.80,72.60
